Sample	posterior	likelihood	prior	directional3d	mutationLikelihood	lambda	alpha	beta	precision.3d.1	precision.3d.2	precision.3d.3	drift.rate.1	drift.rate.2	drift.rate.3	diffusion.rate	trait.3d.1	trait.3d.2	trait.3d.3	trait.3d.4	trait.3d.5	trait.3d.6	trait.3d.7	trait.3d.8	trait.3d.9	trait.3d.10	trait.3d.11	trait.3d.12	trait.3d.13	trait.3d.14	trait.3d.15	trait.3d.16	trait.3d.17	trait.3d.18	popSize	clockRate
1618000	-1043.2863310434384	-1030.7848268601656	-12.501504183272775	255.35294251189833	-1286.137769372064	0.24499323186281002	0.023267654497325565	0.003356850477373718	85.16715379690672	82.42465636142371	66.98068013260666	9.684620245058465	-0.01877210314836475	-5.460956660418251	0.689790358223711	-51.96279986286062	-53.81500163104715	-51.48624551508692	86.85574673555836	2.2630429130454672	21.713111527282436	-86.12771563373977	-20.25563459524595	-47.44246477529718	50.78100626947608	7.734645286543881	86.74488915909839	-90.66326433240798	-6.971712271776923	-48.58898341727007	-43.85381090617116	-64.32608363229268	53.05262969583704	0.1984739933780199	0.969406579862506
1620000	-1043.1637452563516	-1031.2663666629082	-11.897378593443358	254.08169749481578	-1285.3480641577241	0.23284524376814655	0.02403243023225371	0.004090614071331707	85.16715379690672	91.69124360557134	72.57584448031332	2.148804790056502	-2.8050280837904147	4.827526569947615	0.5244126623437482	-21.74139248712312	19.827721916514065	49.84504602361949	-6.685509670277028	-19.063494588437663	85.80556170941385	-30.19930877177822	8.959296426840993	-65.78820427237046	-45.74776219526379	7.734645286543881	-62.41243685946759	79.07833607838435	-47.197132318403405	-48.58898341727007	55.42691459813281	-56.31873198415484	80.82378904548513	0.15876519787547946	0.9760943956401569
1622000	-1042.2922477592738	-1027.6919624232619	-14.600285336011869	255.7718057950421	-1283.463768218304	0.23771587318034595	0.02500412600018975	0.002602330805534523	96.72838011019438	95.53668220432282	91.99059343703586	0.03355663842111056	-0.06326405786542821	-5.267641353045569	1.1056010441120903	5.396160041004336	-98.25764368206649	27.022661754436854	77.72697582001389	-19.063494588437663	-87.56855307050556	-97.0629618205268	2.8416672591778394	-65.78820427237046	-5.529960221043183	22.772322610395307	61.379566758729055	57.94666585307684	-47.197132318403405	-36.47741104494236	23.91888619237531	45.9174863268628	63.3065773607308	0.21967552229730888	0.8657784077695485
1624000	-1040.7367554940918	-1030.1070747221415	-10.629680771950232	256.8467993526275	-1286.953874074769	0.24168034972618094	0.02458655597154304	0.0017897735286842818	91.46303906028609	83.02152190095448	86.4689076197846	2.220778895065809	4.71737855234856	-6.183902274766886	0.45992312625025544	-29.950660264885883	13.564621367730751	-42.8023605003267	11.625674802592485	88.88810283748575	-87.56855307050556	-79.34593762221257	54.39389677394355	-95.29207796010421	-89.8612146500262	-93.51365062986763	61.379566758729055	98.77535566385617	38.117501466478885	35.15959218330664	44.369472924448786	-94.573906864362	-70.5493027794224	0.12509119781407244	0.9512663680941384
1626000	-1051.0543152936868	-1032.357350533031	-18.696964760655945	251.84035048610875	-1284.1977010191397	0.28006275207252007	0.022172310464918576	0.003996848976402929	96.52076191405624	79.95664328887851	80.37237389390904	-7.0045954241958945	4.60960712014224	9.46762563791605	2.704561494495953	-48.420764676031936	51.61286336593298	-42.8023605003267	13.035881960080715	88.88810283748575	-96.86854506697237	-48.25872292942441	-6.5553760011977005	-95.29207796010421	-89.8612146500262	-25.471563057324417	61.19819573713525	61.560668756440435	55.99185991092271	82.83733619938363	91.96769227217439	-47.645841529143	83.20457514637725	0.29631388728895547	0.9547818725042242
1628000	-1049.8980641023593	-1033.3997302614268	-16.498333840932542	251.31570504463687	-1284.7154353060637	0.27624568001021477	0.029450883185137465	0.0038801382809519154	56.73974019268897	28.986133564284987	56.76866444993178	-7.7616446006952415	1.0997344083353298	1.5319864924965358	1.8824585706015606	-25.78485395229076	-60.12188210084162	37.562708490076034	13.60266797088515	-88.07749170262713	-20.762946947725354	41.719991297329415	39.08944940441519	-24.627886525727305	76.07622980596685	0.14247176324177246	50.277428427555236	-37.467431760695064	-87.08349047662726	82.83733619938363	91.96769227217439	-93.0889867601919	-23.499181338785533	0.20875408308640392	0.8056130642958229
1630000	-1046.2247292006039	-1030.5553793806273	-15.669349819976569	254.61335591819105	-1285.1687352988183	0.27611208938386145	0.027640439773121698	0.004457629236110133	77.4435104879219	73.12219199527746	71.08880063098616	-2.6306630663410466	3.652641263224556	-4.755026814984976	0.14107905205443194	70.0258587710275	26.062899303153472	85.82712985038734	27.657464047809427	-55.51899064531261	48.27873597472946	-2.6521898357443945	39.08944940441519	74.00961149864936	-27.28864847728525	0.14247176324177246	67.72999064846474	-29.357993737281078	-0.7312147651244771	10.628776343293964	16.964637882487835	66.55583069543015	-41.446177508834	0.5019608848768405	0.874675195945848
1632000	-1044.477518350833	-1031.361467796523	-13.116050554310036	254.43739154440854	-1285.7988593409314	0.2772873108845783	0.031030624288472933	0.0021189634237984327	65.47806948163024	72.21999299244749	67.04474845005122	2.564579640034303	3.2016559077056677	7.183325825337487	0.5781970205533498	-24.345630295503284	-40.19588328606801	16.576177822861382	-99.88052562556503	-67.8062188347655	-39.85075416459448	-19.312399748810464	-0.08320393688948968	-98.95418407888626	-29.43905932073787	65.14317806219726	-94.68100732401493	86.49413106134179	-68.6943691396417	-21.1081870361258	-67.94015021890189	73.37362330571183	-42.26747451222603	0.22820460011092972	0.9225383102166197
1634000	-1045.5889192652726	-1033.4448106402615	-12.144108625011011	252.15900213372902	-1285.6038127739905	0.2341086929454339	0.02750666279101882	0.0023165270574455714	48.871236813366	39.10119227692899	66.34927848787703	-3.3175317585262576	-3.6309418579840305	1.3984414013603264	1.3654706125336646	-72.01555475809029	71.17647865196147	89.48107762924906	-99.88052562556503	-67.8062188347655	-39.85075416459448	-59.215177271869294	24.716342169020564	-57.792949357790846	-65.04405424788078	-29.717349201995646	89.29077412914486	-67.85048414005533	-10.390988257715307	-35.538900830022214	-8.041149000342813	80.44056608245741	7.862849598469339	0.18386853695733776	0.921319172201343
1636000	-1042.9314371850485	-1032.186097744332	-10.745339440716426	252.9216977139127	-1285.1077954582447	0.2481393397988298	0.02420610472477883	0.002261314494426599	71.20173241767323	88.27739222200145	92.73530296458577	3.8586650560191664	4.7138895155346106	-4.998667873717334	0.2690851639889927	70.1650510390409	-36.31497874340528	69.32337675238182	-39.72500878312779	-37.529402280419106	-39.85075416459448	83.03537689830304	24.716342169020564	-6.876768738183202	-51.80629877866144	25.299199315456306	-7.492703711086989	23.296396921245304	-39.10265065113093	-72.68655573118104	46.58514327074633	47.89913246124537	45.00665698401953	0.10832021684687682	0.9970824555711777
